Duration,Finished,RecordedDate,ResponseId,Age,Gender,item,TF,TF_RT,Nice,Nice_RT,trial,condition,Answer,Question,correct
296,TRUE,6/11/19 10:03,R_3nlt53Yxgvz7sUa,35,Male,1,TRUE,1,5,0,31,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
655,TRUE,6/11/19 10:10,R_ZLis8sRowpk9PvX,41,Female,1,TRUE,1.613,5,0.966,15,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
748,TRUE,6/11/19 10:10,R_5aKNWSi3ewXI0Br,23,Male,1,TRUE,2.005,1,0,29,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
528,TRUE,6/11/19 10:11,R_73NCcJkqe8nX3pL,35,Male,1,FALSE,0.474,4,0,14,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",FALSE
755,TRUE,6/11/19 10:11,R_1itjXKj7aJ26xlY,50,Male,1,TRUE,1.537,4,1.558,16,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
677,TRUE,6/11/19 10:11,R_2xEQOcbagTC5K31,27,Female,1,TRUE,2.053,7,1.774,29,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
772,TRUE,6/11/19 10:11,R_sjyOcu2i5Cs3KPD,40,Male,1,TRUE,2.978,6,1.06,11,cooperation,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
735,TRUE,6/11/19 10:11,R_2DMiqHkr8WXICHg,32,Female,1,TRUE,1.648,2,0,6,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
500,TRUE,6/11/19 10:12,R_2tyaL54hsNnBGiE,35,Male,1,TRUE,3.876,4,0.694,3,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
818,TRUE,6/11/19 10:12,R_Qh6cdqFytPFsV3P,28,Female,1,TRUE,3.136,4,5.632,11,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
737,TRUE,6/11/19 10:12,R_3k7XpgJaA2P1mMl,29,Male,1,TRUE,2.222,3,0,16,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
831,TRUE,6/11/19 10:12,R_3n7UxfN5J3GD59s,55,Male,1,TRUE,2.1,4,3.675,26,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
819,TRUE,6/11/19 10:12,R_2dHltfvDoR6dDRT,31,Male,1,TRUE,1,4,1.087,21,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
764,TRUE,6/11/19 10:13,R_3JJylNort6ur6sS,21,Male,1,TRUE,1.527,2,1.09,8,neutral,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
898,TRUE,6/11/19 10:13,R_2BsoiDyVxkWuZ8o,47,Male,1,TRUE,3.301,5,2.313,3,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
820,TRUE,6/11/19 10:14,R_21ooKFhcfIWZ74P,35,Male,1,TRUE,4.155,2,0.808,26,competition,TRUE,"While Sally is away, she will think that her ball is in the box.",TRUE
